Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
20223,audi,Audi A1,silver,05/2021,2021,31740,110,150,Automatic,Petrol,"6,5 l/100 km",151 g/km,2495.0,Citycarver 35 TFSI edition one S-tronic LED
22542,audi,Audi A6,silver,02/2023,2023,69320,150,204,Automatic,Diesel,"5,8 l/100 km","152,6 g/km",8602.0,Avant 40 TDI quattro Sport S Line LED
60474,ford,Ford C-Max,grey,10/2012,2012,10000,92,125,Manual,Petrol,"6,6 l/100 km",154 g/km,76000.0,1.6 Ti-VCT Champions Edition
74831,ford,Ford Transit Custom,blue,06/2023,2023,55440,136,185,Manual,Diesel,"7,8 l/100 km",206 g/km,32.0,Copa C500 Bahia Camper Holiday
48030,dacia,Dacia Lodgy,grey,03/2015,2015,8999,79,107,Manual,Diesel,"4,4 l/100 km",117 g/km,139785.0,Prestige 1.5 DCI LEDER NAVI PDC TEMPO!
14581,audi,Audi RS3,blue,05/2018,2018,59900,449,610,Automatic,Petrol,"8,1 l/100 km",- (g/km),42900.0,RS3 Sportback S tronic MTR Perfromance 600PS
79426,hyundai,Hyundai TUCSON,black,04/2017,2017,20900,130,177,Automatic,Petrol,"7,5 l/100 km",175 g/km,82600.0,1.6 Turbo 4WD DCT Style
76565,honda,Honda Jazz,red,02/2017,2017,13980,75,102,Manual,Petrol,,- (g/km),35146.0,1.3 ELEGANCE KLIMAA SHZ KAMERA LM
53563,fiat,Fiat Panda,white,04/2015,2015,7600,63,86,Manual,Petrol,"4,9 l/100 km",114 g/km,140000.0,0.9 TwinAir 4x4
78329,hyundai,Hyundai SANTA FE,red,03/2015,2015,18985,145,197,Automatic,Diesel,,- (g/km),150000.0,Grand Santa Fe *SONDERPREIS BIS SAMSTAG*7Sitzer*
12536,audi,Audi A5,white,08/2016,2016,18999,110,150,Automatic,Diesel,"4,6 l/100 km",119 g/km,160000.0,Audi A5 2.0 TDI Sportback DPF S-line ext Privacy
